"filename", "language", "JSON", "HTML", "JavaScript", "CSS", "XML", "JavaScript JSX", "Markdown", "comment", "blank", "total"
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\reservation\ViewReservation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 80, 0, 2, 7, 89
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\swiper\recentlyViewed.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 21, 65
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\swiper\swiper.css", "CSS", 0, 0, 0, 27, 0, 0, 0, 0, 5, 32
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\index.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 5, 12
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\styles\Root.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\styles\Vehicle.module.css", "CSS", 0, 0, 0, 17, 0, 0, 0, 0, 0, 17
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\utilities\ReservationUtils.js", "JavaScript", 0, 0, 142, 0, 0, 0, 0, 0, 13, 155
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\utilities\VehiclesUtils.js", "JavaScript", 0, 0, 92, 0, 0, 0, 0, 0, 7, 99
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\utilities\cancelReservation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 20, 0, 20
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\utilities\createReservation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 32, 0, 32
